city,year,live_popularity,born_popularity
city1,2007.0,277.0,258.0
city1,2008.0,280.0,258.0
city1,2009.0,282.0,259.0
city1,2010.0,285.0,259.0
city1,2011.0,289.0,260.0
city1,2012.0,290.0,261.0
city1,2013.0,291.0,261.0
city1,2014.0,292.0,262.0
city1,2015.0,293.0,264.0
city1,2016.0,295.0,264.0
city1,2017.0,298.0,265.0
city1,2018.0,300.0,266.0
city1,2019.0,303.0,267.0
city1,2020.0,306.0,268.0
city10,2007.0,228.0,253.0
city10,2008.0,229.0,254.0
city10,2009.0,230.0,255.0
city10,2010.0,231.0,257.0
city10,2011.0,212.0,260.0
city10,2012.0,212.0,261.0
city10,2013.0,212.0,263.0
city10,2014.0,212.0,264.0
city10,2015.0,213.0,266.0
city10,2016.0,214.0,266.0
city10,2017.0,217.0,268.0
city10,2018.0,219.0,269.0
city10,2019.0,220.0,270.0
city10,2020.0,221.0,271.0
city11,2007.0,408.0,336.0
city11,2008.0,419.0,337.0
city11,2009.0,423.0,338.0
city11,2010.0,431.0,340.0
city11,2011.0,450.0,342.0
city11,2012.0,453.0,343.0
city11,2013.0,454.0,345.0
city11,2014.0,456.0,346.0
city11,2015.0,457.0,348.0
city11,2016.0,459.0,349.0
city11,2017.0,461.0,352.0
city11,2018.0,466.0,356.0
city11,2019.0,473.0,360.0
city11,2020.0,480.0,364.0
city12,2007.0,463.0,504.0
city12,2008.0,458.0,501.0
city12,2009.0,464.0,501.0
city12,2010.0,467.0,504.0
city12,2011.0,462.0,505.0
city12,2012.0,463.0,507.0
city12,2013.0,463.0,506.0
city12,2014.0,463.0,508.0
city12,2015.0,464.0,509.0
city12,2016.0,464.0,508.0
city12,2017.0,465.0,508.0
city12,2018.0,465.0,505.0
city12,2019.0,464.0,503.0
city12,2020.0,452.0,501.0
city13,2007.0,489.0,529.0
city13,2008.0,481.0,532.0
city13,2009.0,475.0,535.0
city13,2010.0,473.0,541.0
city13,2011.0,472.0,546.0
city13,2012.0,477.0,555.0
city13,2013.0,480.0,560.0
city13,2014.0,482.0,572.0
city13,2015.0,484.0,581.0
city13,2016.0,485.0,586.0
city13,2017.0,488.0,592.0
city13,2018.0,491.0,591.0
city13,2019.0,493.0,591.0
city13,2020.0,497.0,592.0
city14,2002.0,239.0,325.0
city14,2003.0,248.0,332.0
city14,2004.0,258.0,334.0
city14,2005.0,269.0,333.0
city14,2006.0,278.0,337.0
city14,2007.0,281.0,341.0
city14,2008.0,275.0,335.0
city14,2009.0,285.0,347.0
city14,2010.0,287.0,349.0
city14,2011.0,296.0,358.0
city14,2012.0,298.0,367.0
city14,2013.0,301.0,355.0
city14,2014.0,304.0,361.0
city14,2015.0,293.0,365.0
city14,2016.0,291.0,366.0
city14,2017.0,289.0,373.0
city14,2018.0,287.0,373.0
city14,2019.0,286.0,373.0
city14,2020.0,285.0,373.0
city15,2008.0,870.0,940.0
city15,2009.0,870.0,945.0
city15,2010.0,865.0,955.0
city15,2011.0,855.0,970.0
city15,2012.0,855.0,975.0
city15,2013.0,855.0,990.0
city15,2014.0,860.0,1005.0
city15,2015.0,860.0,1025.0
city15,2016.0,865.0,1030.0
city15,2017.0,870.0,1040.0
city15,2018.0,875.0,1040.0
city15,2019.0,880.0,1045.0
city15,2020.0,905.0,1040.0
city16,2002.0,275.0,310.0
city16,2003.0,280.0,315.0
city16,2004.0,285.0,315.0
city16,2005.0,285.0,315.0
city16,2006.0,290.0,320.0
city16,2007.0,290.0,320.0
city16,2008.0,285.0,320.0
city16,2009.0,285.0,320.0
city16,2010.0,285.0,325.0
city16,2011.0,280.0,325.0
city16,2012.0,280.0,330.0
city16,2013.0,280.0,325.0
city16,2014.0,280.0,325.0
city16,2015.0,280.0,330.0
city16,2016.0,280.0,330.0
city16,2017.0,285.0,335.0
city16,2018.0,285.0,335.0
city16,2019.0,285.0,335.0
city16,2020.0,285.0,335.0
city17,2002.0,995.0,710.0
city17,2003.0,980.0,720.0
city17,2004.0,970.0,720.0
city17,2005.0,965.0,735.0
city17,2006.0,945.0,750.0
city17,2007.0,995.0,760.0
city17,2008.0,1050.0,770.0
city17,2009.0,1110.0,780.0
city17,2010.0,1185.0,790.0
city17,2011.0,1270.0,805.0
city17,2012.0,1345.0,810.0
city17,2013.0,1415.0,820.0
city17,2014.0,1470.0,830.0
city17,2015.0,1525.0,840.0
city17,2016.0,1590.0,850.0
city17,2017.0,1675.0,865.0
city17,2018.0,1745.0,895.0
city17,2019.0,1795.0,925.0
city17,2020.0,1830.0,950.0
city18,2008.0,435.0,355.0
city18,2009.0,440.0,360.0
city18,2010.0,445.0,360.0
city18,2011.0,460.0,360.0
city18,2012.0,465.0,360.0
city18,2013.0,470.0,365.0
city18,2014.0,470.0,365.0
city18,2015.0,470.0,370.0
city18,2016.0,470.0,370.0
city18,2017.0,470.0,375.0
city18,2018.0,470.0,380.0
city18,2019.0,470.0,380.0
city18,2020.0,525.0,385.0
city19,2007.0,500.0,455.0
city19,2008.0,510.0,460.0
city19,2009.0,515.0,460.0
city19,2010.0,520.0,465.0
city19,2011.0,535.0,465.0
city19,2012.0,540.0,470.0
city19,2013.0,540.0,470.0
city19,2014.0,540.0,470.0
city19,2015.0,545.0,475.0
city19,2016.0,545.0,475.0
city19,2017.0,550.0,480.0
city19,2018.0,555.0,485.0
city19,2019.0,560.0,490.0
city19,2020.0,560.0,490.0
city2,2007.0,584.0,458.0
city2,2008.0,599.0,462.0
city2,2009.0,611.0,464.0
city2,2010.0,620.0,466.0
city2,2011.0,638.0,467.0
city2,2012.0,643.0,468.0
city2,2013.0,647.0,470.0
city2,2014.0,648.0,472.0
city2,2015.0,650.0,477.0
city2,2016.0,651.0,481.0
city2,2017.0,653.0,486.0
city2,2018.0,655.0,493.0
city2,2019.0,657.0,497.0
city2,2020.0,745.0,503.0
city20,2007.0,220.0,245.0
city20,2008.0,220.0,245.0
city20,2009.0,220.0,250.0
city20,2010.0,225.0,250.0
city20,2011.0,210.0,250.0
city20,2012.0,210.0,250.0
city20,2013.0,210.0,250.0
city20,2014.0,210.0,255.0
city20,2015.0,210.0,255.0
city20,2016.0,210.0,255.0
city20,2017.0,215.0,255.0
city20,2018.0,220.0,255.0
city20,2019.0,220.0,255.0
city20,2020.0,220.0,255.0
city21,2007.0,773.0,666.0
city21,2008.0,786.0,672.0
city21,2009.0,797.0,678.0
city21,2010.0,810.0,683.0
city21,2011.0,870.0,689.0
city21,2012.0,874.0,696.0
city21,2013.0,880.0,701.0
city21,2014.0,884.0,707.0
city21,2015.0,889.0,716.0
city21,2016.0,902.0,724.0
city21,2017.0,919.0,736.0
city21,2018.0,947.0,754.0
city21,2019.0,981.0,774.0
city21,2020.0,1036.0,794.0
city22,2007.0,719.0,607.0
city22,2008.0,741.0,617.0
city22,2009.0,759.0,624.0
city22,2010.0,771.0,630.0
city22,2011.0,801.0,632.0
city22,2012.0,811.0,636.0
city22,2013.0,816.0,638.0
city22,2014.0,819.0,643.0
city22,2015.0,822.0,649.0
city22,2016.0,824.0,653.0
city22,2017.0,827.0,663.0
city22,2018.0,834.0,681.0
city22,2019.0,844.0,697.0
city22,2020.0,928.0,710.0
city23,2002.0,128.0,76.0
city23,2003.0,132.0,79.0
city23,2004.0,135.0,82.0
city23,2005.0,139.0,86.0
city23,2006.0,142.0,90.0
city23,2007.0,144.0,93.0
city23,2008.0,147.0,96.0
city23,2009.0,151.0,99.0
city23,2010.0,154.0,103.0
city23,2011.0,156.0,105.0
city23,2012.0,165.0,106.0
city23,2013.0,173.0,107.0
city23,2014.0,179.0,109.0
city23,2015.0,186.0,110.0
city23,2016.0,190.0,112.0
city23,2017.0,196.0,115.0
city23,2018.0,207.0,119.0
city23,2019.0,221.0,127.0
city23,2020.0,233.0,133.0
city24,2002.0,nan,569.0
city24,2003.0,nan,575.0
city24,2004.0,nan,583.0
city24,2005.0,nan,590.0
city24,2006.0,643.0,597.0
city24,2007.0,648.0,603.0
city24,2008.0,657.0,605.0
city24,2009.0,663.0,604.0
city24,2010.0,668.0,603.0
city24,2011.0,682.0,604.0
city24,2012.0,689.0,607.0
city24,2013.0,695.0,609.0
city24,2014.0,700.0,613.0
city24,2015.0,707.0,622.0
city24,2016.0,713.0,626.0
city24,2017.0,723.0,633.0
city24,2018.0,732.0,644.0
city24,2019.0,746.0,656.0
city24,2020.0,891.0,797.0
city25,2007.0,672.0,560.0
city25,2008.0,690.0,565.0
city25,2009.0,707.0,568.0
city25,2010.0,719.0,571.0
city25,2011.0,761.0,574.0
city25,2012.0,763.0,576.0
city25,2013.0,764.0,578.0
city25,2014.0,766.0,580.0
city25,2015.0,781.0,584.0
city25,2016.0,783.0,587.0
city25,2017.0,788.0,591.0
city25,2018.0,801.0,597.0
city25,2019.0,820.0,603.0
city25,2020.0,854.0,608.0
city26,2007.0,725.0,770.0
city26,2008.0,718.0,766.0
city26,2009.0,715.0,764.0
city26,2010.0,713.0,763.0
city26,2011.0,728.0,763.0
city26,2012.0,729.0,765.0
city26,2013.0,730.0,765.0
city26,2014.0,730.0,767.0
city26,2015.0,730.0,768.0
city26,2016.0,730.0,767.0
city26,2017.0,730.0,767.0
city26,2018.0,731.0,764.0
city26,2019.0,731.0,763.0
city26,2020.0,772.0,760.0
city27,2002.0,478.0,462.0
city27,2003.0,482.0,480.0
city27,2004.0,486.0,485.0
city27,2005.0,493.0,488.0
city27,2006.0,494.0,491.0
city27,2007.0,500.0,495.0
city27,2008.0,507.0,501.0
city27,2009.0,515.0,507.0
city27,2010.0,522.0,511.0
city27,2011.0,540.0,524.0
city27,2012.0,540.0,529.0
city27,2013.0,541.0,533.0
city27,2014.0,542.0,540.0
city27,2015.0,545.0,547.0
city27,2016.0,546.0,550.0
city27,2017.0,546.0,559.0
city27,2018.0,548.0,565.0
city27,2019.0,549.0,569.0
city27,2020.0,549.0,572.0
city28,2002.0,0.0,710.0
city28,2003.0,0.0,716.0
city28,2004.0,0.0,721.0
city28,2005.0,0.0,731.0
city28,2006.0,820.0,741.0
city28,2007.0,829.0,749.0
city28,2008.0,839.0,758.0
city28,2009.0,846.0,762.0
city28,2010.0,850.0,763.0
city28,2011.0,872.0,764.0
city28,2012.0,890.0,766.0
city28,2013.0,903.0,770.0
city28,2014.0,918.0,774.0
city28,2015.0,935.0,781.0
city28,2016.0,945.0,783.0
city28,2017.0,961.0,791.0
city28,2018.0,972.0,803.0
city28,2019.0,981.0,818.0
city28,2020.0,992.0,831.0
city29,2007.0,571.0,565.0
city29,2008.0,573.0,569.0
city29,2009.0,574.0,574.0
city29,2010.0,576.0,578.0
city29,2011.0,597.0,583.0
city29,2012.0,600.0,587.0
city29,2013.0,601.0,591.0
city29,2014.0,604.0,594.0
city29,2015.0,602.0,597.0
city29,2016.0,605.0,597.0
city29,2017.0,608.0,600.0
city29,2018.0,612.0,604.0
city29,2019.0,614.0,605.0
city29,2020.0,614.0,606.0
city3,2002.0,725.0,132.0
city3,2003.0,747.0,139.0
city3,2004.0,778.0,151.0
city3,2005.0,801.0,165.0
city3,2006.0,828.0,182.0
city3,2007.0,871.0,197.0
city3,2008.0,912.0,212.0
city3,2009.0,954.0,228.0
city3,2010.0,995.0,241.0
city3,2011.0,1037.0,251.0
city3,2012.0,1123.0,268.0
city3,2013.0,1196.0,288.0
city3,2014.0,1257.0,310.0
city3,2015.0,1318.0,332.0
city3,2016.0,1408.0,355.0
city3,2017.0,1495.0,385.0
city3,2018.0,1587.0,435.0
city3,2019.0,1666.0,455.0
city3,2020.0,1710.0,495.0
city30,2007.0,451.0,479.0
city30,2008.0,447.0,482.0
city30,2009.0,446.0,488.0
city30,2010.0,445.0,491.0
city30,2011.0,440.0,498.0
city30,2012.0,439.0,505.0
city30,2013.0,441.0,511.0
city30,2014.0,443.0,520.0
city30,2015.0,445.0,527.0
city30,2016.0,447.0,531.0
city30,2017.0,450.0,534.0
city30,2018.0,452.0,533.0
city30,2019.0,452.0,534.0
city30,2020.0,459.0,534.0
city31,2002.0,403.0,381.0
city31,2003.0,405.0,381.0
city31,2004.0,406.0,382.0
city31,2005.0,410.0,386.0
city31,2006.0,410.0,386.0
city31,2007.0,415.0,387.0
city31,2008.0,421.0,388.0
city31,2009.0,428.0,390.0
city31,2010.0,437.0,392.0
city31,2011.0,445.0,392.0
city31,2012.0,448.0,394.0
city31,2013.0,451.0,392.0
city31,2014.0,453.0,393.0
city31,2015.0,456.0,393.0
city31,2016.0,458.0,391.0
city31,2017.0,462.0,394.0
city31,2018.0,465.0,396.0
city31,2019.0,470.0,399.0
city31,2020.0,475.0,400.0
city32,2002.0,nan,410.0
city32,2003.0,nan,412.0
city32,2004.0,nan,413.0
city32,2005.0,nan,415.0
city32,2006.0,442.0,417.0
city32,2007.0,446.0,418.0
city32,2008.0,448.0,420.0
city32,2009.0,451.0,421.0
city32,2010.0,451.0,421.0
city32,2011.0,453.0,422.0
city32,2012.0,456.0,424.0
city32,2013.0,458.0,424.0
city32,2014.0,459.0,425.0
city32,2015.0,462.0,428.0
city32,2016.0,464.0,430.0
city32,2017.0,469.0,432.0
city32,2018.0,471.0,433.0
city32,2019.0,470.0,434.0
city32,2020.0,470.0,435.0
city33,2007.0,780.0,756.0
city33,2008.0,790.0,765.0
city33,2009.0,800.0,772.0
city33,2010.0,808.0,779.0
city33,2011.0,912.0,787.0
city33,2012.0,914.0,798.0
city33,2013.0,916.0,800.0
city33,2014.0,920.0,807.0
city33,2015.0,907.0,814.0
city33,2016.0,912.0,811.0
city33,2017.0,918.0,818.0
city33,2018.0,922.0,825.0
city33,2019.0,925.0,829.0
city33,2020.0,930.0,832.0
city34,2007.0,769.0,805.0
city34,2008.0,758.0,810.0
city34,2009.0,752.0,812.0
city34,2010.0,748.0,812.0
city34,2011.0,726.0,816.0
city34,2012.0,724.0,821.0
city34,2013.0,722.0,822.0
city34,2014.0,722.0,824.0
city34,2015.0,722.0,829.0
city34,2016.0,723.0,828.0
city34,2017.0,724.0,831.0
city34,2018.0,724.0,826.0
city34,2019.0,720.0,825.0
city34,2020.0,671.0,821.0
city35,2002.0,622.0,701.0
city35,2003.0,634.0,707.0
city35,2004.0,645.0,714.0
city35,2005.0,661.0,716.0
city35,2006.0,669.0,718.0
city35,2007.0,686.0,737.0
city35,2008.0,688.0,745.0
city35,2009.0,691.0,754.0
city35,2010.0,693.0,763.0
city35,2011.0,700.0,778.0
city35,2012.0,707.0,792.0
city35,2013.0,711.0,785.0
city35,2014.0,717.0,804.0
city35,2015.0,699.0,819.0
city35,2016.0,699.0,823.0
city35,2017.0,698.0,835.0
city35,2018.0,698.0,839.0
city35,2019.0,698.0,848.0
city35,2020.0,698.0,854.0
city36,2002.0,nan,360.0
city36,2003.0,nan,362.0
city36,2004.0,nan,364.0
city36,2005.0,nan,365.0
city36,2006.0,360.0,367.0
city36,2007.0,362.0,372.0
city36,2008.0,364.0,380.0
city36,2009.0,365.0,383.0
city36,2010.0,367.0,387.0
city36,2011.0,373.0,391.0
city36,2012.0,375.0,394.0
city36,2013.0,377.0,395.0
city36,2014.0,380.0,396.0
city36,2015.0,383.0,401.0
city36,2016.0,388.0,408.0
city36,2017.0,392.0,413.0
city36,2018.0,392.0,418.0
city36,2019.0,393.0,423.0
city36,2020.0,393.0,425.0
city37,2007.0,446.0,459.0
city37,2008.0,446.0,459.0
city37,2009.0,447.0,460.0
city37,2010.0,450.0,459.0
city37,2011.0,446.0,459.0
city37,2012.0,446.0,460.0
city37,2013.0,447.0,458.0
city37,2014.0,447.0,460.0
city37,2015.0,448.0,461.0
city37,2016.0,448.0,461.0
city37,2017.0,449.0,462.0
city37,2018.0,451.0,460.0
city37,2019.0,453.0,459.0
city37,2020.0,455.0,457.0
city38,2002.0,347.0,389.0
city38,2003.0,352.0,391.0
city38,2004.0,357.0,393.0
city38,2005.0,364.0,394.0
city38,2006.0,368.0,396.0
city38,2007.0,376.0,405.0
city38,2008.0,378.0,408.0
city38,2009.0,381.0,410.0
city38,2010.0,384.0,414.0
city38,2011.0,392.0,422.0
city38,2012.0,394.0,427.0
city38,2013.0,396.0,428.0
city38,2014.0,399.0,430.0
city38,2015.0,399.0,434.0
city38,2016.0,400.0,438.0
city38,2017.0,402.0,444.0
city38,2018.0,404.0,446.0
city38,2019.0,407.0,450.0
city38,2020.0,409.0,454.0
city39,2002.0,nan,174.0
city39,2003.0,nan,175.0
city39,2004.0,nan,177.0
city39,2005.0,nan,179.0
city39,2006.0,195.0,181.0
city39,2007.0,197.0,182.0
city39,2008.0,199.0,183.0
city39,2009.0,200.0,184.0
city39,2010.0,202.0,185.0
city39,2011.0,204.0,185.0
city39,2012.0,206.0,186.0
city39,2013.0,207.0,186.0
city39,2014.0,208.0,187.0
city39,2015.0,210.0,189.0
city39,2016.0,211.0,191.0
city39,2017.0,213.0,193.0
city39,2018.0,215.0,195.0
city39,2019.0,217.0,197.0
city39,2020.0,218.0,198.0
city4,2007.0,103.0,97.0
city4,2008.0,104.0,97.0
city4,2009.0,105.0,97.0
city4,2010.0,106.0,97.0
city4,2011.0,112.0,97.0
city4,2012.0,114.0,97.0
city4,2013.0,114.0,97.0
city4,2014.0,114.0,97.0
city4,2015.0,115.0,97.0
city4,2016.0,115.0,97.0
city4,2017.0,116.0,97.0
city4,2018.0,117.0,97.0
city4,2019.0,117.0,97.0
city4,2020.0,118.0,97.0
city40,2007.0,300.0,269.0
city40,2008.0,302.0,269.0
city40,2009.0,304.0,269.0
city40,2010.0,307.0,270.0
city40,2011.0,311.0,271.0
city40,2012.0,313.0,272.0
city40,2013.0,315.0,271.0
city40,2014.0,317.0,272.0
city40,2015.0,317.0,272.0
city40,2016.0,318.0,272.0
city40,2017.0,318.0,272.0
city40,2018.0,319.0,271.0
city40,2019.0,320.0,271.0
city40,2020.0,320.0,270.0
city5,2007.0,810.0,616.0
city5,2008.0,882.0,624.0
city5,2009.0,913.0,630.0
city5,2010.0,937.0,633.0
city5,2011.0,1047.0,638.0
city5,2012.0,1052.0,642.0
city5,2013.0,1055.0,648.0
city5,2014.0,1058.0,654.0
city5,2015.0,1060.0,661.0
city5,2016.0,1062.0,667.0
city5,2017.0,1065.0,678.0
city5,2018.0,1068.0,691.0
city5,2019.0,1072.0,704.0
city5,2020.0,1271.0,723.0
city6,2002.0,549.0,336.0
city6,2003.0,557.0,339.0
city6,2004.0,564.0,344.0
city6,2005.0,575.0,351.0
city6,2006.0,580.0,354.0
city6,2007.0,604.0,358.0
city6,2008.0,630.0,361.0
city6,2009.0,657.0,364.0
city6,2010.0,687.0,368.0
city6,2011.0,720.0,371.0
city6,2012.0,761.0,375.0
city6,2013.0,796.0,378.0
city6,2014.0,824.0,382.0
city6,2015.0,850.0,386.0
city6,2016.0,864.0,389.0
city6,2017.0,875.0,400.0
city6,2018.0,900.0,420.0
city6,2019.0,926.0,437.0
city6,2020.0,943.0,461.0
city7,2007.0,450.0,436.0
city7,2008.0,458.0,436.0
city7,2009.0,464.0,437.0
city7,2010.0,470.0,438.0
city7,2011.0,491.0,439.0
city7,2012.0,493.0,440.0
city7,2013.0,494.0,441.0
city7,2014.0,495.0,442.0
city7,2015.0,496.0,443.0
city7,2016.0,497.0,443.0
city7,2017.0,499.0,445.0
city7,2018.0,501.0,446.0
city7,2019.0,504.0,447.0
city7,2020.0,506.0,448.0
city8,2007.0,492.0,533.0
city8,2008.0,486.0,534.0
city8,2009.0,482.0,537.0
city8,2010.0,481.0,534.0
city8,2011.0,480.0,539.0
city8,2012.0,480.0,543.0
city8,2013.0,480.0,547.0
city8,2014.0,483.0,553.0
city8,2015.0,485.0,560.0
city8,2016.0,487.0,564.0
city8,2017.0,489.0,568.0
city8,2018.0,491.0,561.0
city8,2019.0,493.0,561.0
city8,2020.0,464.0,560.0
city9,2002.0,542.0,655.0
city9,2003.0,552.0,661.0
city9,2004.0,562.0,668.0
city9,2005.0,576.0,671.0
city9,2006.0,584.0,679.0
city9,2007.0,595.0,702.0
city9,2008.0,598.0,716.0
city9,2009.0,593.0,726.0
city9,2010.0,588.0,735.0
city9,2011.0,583.0,747.0
city9,2012.0,585.0,761.0
city9,2013.0,591.0,749.0
city9,2014.0,592.0,758.0
city9,2015.0,593.0,772.0
city9,2016.0,593.0,786.0
city9,2017.0,594.0,799.0
city9,2018.0,599.0,804.0
city9,2019.0,606.0,811.0
city9,2020.0,612.0,818.0
